25	RUIM	Paralelas (mergulho): em pé, pés no chão, quase não desce
26	RUIM	Paralelas com peso: em pé, pés no chão, quase não desce
42	RUIM	Supino inclinado na máquina: empurra reto pra cima, vira desenvolvimento
43	RUIM	Supino inclinado no smith: barra desce no rosto
45	RUIM	Supino máquina: mãos quase não saem do peito (eu aprovei)
59	RUIM	Extensão lombar na máquina: sentado reclinado de braços cruzados, quase não mexe
82	RUIM	Remada baixa: braço nunca estende, a pegada fica na barriga
176	RUIM	Flexão diamante para tríceps: fica embaixo, braço nunca estende
183	RUIM	Tríceps coice bilateral: abre os braços pro lado (vira crucifixo invertido), não é coice
212	RUIM	Encolhimento com kettlebell: ombro não sobe
213	RUIM	Encolhimento de ombros com barra: ombro quase não sobe
216	RUIM	Encolhimento no smith: ombro quase não sobe (lote 8, eu aprovei)
29	DUVIDOSO	Pullover: amplitude curta
39	DUVIDOSO	Supino inclinado: barra para no pescoço
49	DUVIDOSO	Supino reto no smith: barra para no pescoço
80	DUVIDOSO	Puxador triângulo: pegador para na testa, não chega ao peito
85	DUVIDOSO	Remada baixa unilateral: braço não estende à frente
94	DUVIDOSO	Remada máquina: curso curto
141	DUVIDOSO	Rotação externa com elástico: arco curto de rotação
142	DUVIDOSO	Rotação externa na polia: arco curto
173	DUVIDOSO	Extensão de tríceps na máquina: curso curto
179	DUVIDOSO	Mergulho nas paralelas: desce pouco
211	DUVIDOSO	Encolhimento com halteres: subida curta
